Team,Shots pg,Yellow cards,Red cards,Possession%,Pass%,AerialsWon,Rank
Wolfsburg,0,2,0,1,1,1,6
Bayern Munich,2,0,1,2,2,0,1
Schalke 04,0,2,2,0,0,1,14
Hannover 96,0,1,2,0,0,1,17
Borussia M.Gladbach,1,0,0,1,2,0,5
Eintracht Frankfurt,0,1,1,0,0,2,7
Werder Bremen,1,1,1,1,1,1,8
Fortuna Duesseldorf,0,2,0,0,0,1,10
Mainz 05,1,1,0,0,0,1,12
Freiburg,0,1,1,0,1,0,13
RB Leipzig,1,2,0,0,0,2,3
Borussia Dortmund,0,0,1,2,2,0,2
Bayer Leverkusen,1,0,0,2,2,0,4
Hoffenheim,2,2,1,1,1,0,9
Hertha Berlin,0,2,2,0,1,2,11
VfB Stuttgart,0,2,2,0,0,2,16
Nuernberg,0,1,2,0,0,1,18
Augsburg,1,1,0,0,0,1,15
